10000,FL,9773012,6844764,6932099
10000,FK,5129837,7034328,3605515
10000,FU,13957176,8956805,13647715
10000,CF,141325,96100,207
10000,CE,4549354,4609495
59500,FL,89260778,32284586,46393518
59500,FK,32004845,54672551,37312302
59500,FU,274135811,127057648,219535406
59500,CF,297785,422128,3408
59500,CE,39927702,44270665
109000,FL,269685847,97165194,141408706
109000,FK,79983557,116983772,71534113
109000,FU,550147857,220504448,482061190
109000,CF,544548,748156,1597
109000,CE,113092873,140109062
158500,FL,532659197,137888086,240267125
158500,FK,127946790,123292407,85386491
158500,FU,530438951,219769572,472789558
158500,CF,695263,1048066,953
158500,CE,126127399,140020516
208000,FL,396310559,124406084,199085250
208000,FK,120579508,162644779,112568210
208000,FU,706861852,302223893,633728709
208000,CF,901641,1373585,1084
208000,CE,178783328,197230848
257500,FL,516227624,156722782,252584117
257500,FK,152191587,203725021,140981615
257500,FU,912408947,374551994,852859128
257500,CF,1108855,1685028,1419
257500,CE,232296449,256078855
307000,FL,633063534,187186822,315861949
307000,FK,182518402,245576492,169204779
307000,FU,1116144797,449830489,1055219759
307000,CF,1314369,2016422,1290
307000,CE,289741528,316606267
356500,FL,782270250,221409956,371014350
356500,FK,215972947,285397663,201057736
356500,FU,1369385837,530634914,1276515200
356500,CF,1579680,2383206,1873
356500,CE,358460438,390213768
406000,FL,879251580,254254325,432799797
406000,FK,248008354,326958788,232106179
406000,FU,1570003464,610736807,1487863804
406000,CF,1800073,2705081,1279
406000,CE,427784800,455345700
455500,FL,1042064754,286338666,492676877
455500,FK,281556328,373583332,261857518
455500,FU,1847408289,694781823,1699162702
455500,CF,1999890,3004584,1453
455500,CE,498734353,539274199
505000,FL,1150843066,319381948,552700252
505000,FK,314466463,414379970,291007463
505000,FU,2051363901,773013816,1847574393
505000,CF,2199823,3344012,1093
505000,CE,572927624,613830296
554500,FL,1281948235,352430227,620262912
554500,FK,349666641,454034283,322384406
554500,FU,2298844278,846966666,2090669417
554500,CF,2395644,3650145,1205
554500,CE,651974870,694302213
604000,FL,1416699632,384972394,688640315
604000,FK,380992298,495875116,352084406
604000,FU,2534920877,926297447,2327447608
604000,CF,2607912,3976134,1231
604000,CE,741127859,776773884
653500,FL,1555477724,419289025,745406158
653500,FK,416130821,540126321,384665978
653500,FU,2799737799,1001537684,2540016351
653500,CF,2826691,4291929,1314
653500,CE,820028772,871838766
703000,FL,1713593719,452563929,813719217
703000,FK,449709602,582963553,417903606
703000,FU,3062933152,1085303341,2782232381
703000,CF,3025177,4617056,1159
703000,CE,916967607,962182242
752500,FL,1849478030,482829186,881324503
752500,FK,485626518,626089289,449618239
752500,FU,3349185449,1164060253,3023206522
752500,CF,3228966,4920324,1335
752500,CE,1010304353,1062774692
802000,FL,1974601679,520407957,947528290
802000,FK,518869617,668316295,482913437
802000,FU,3550932495,1245213588,3271488607
802000,CF,3445300,5259612,1073
802000,CE,1114263986,1157824220
851500,FL,2099840418,552339113,1014380714
851500,FK,551973787,712535549,514139093
851500,FU,3788501737,1324367440,3494625219
851500,CF,3653156,5553756,1303
851500,CE,1215217504,1270780493
901000,FL,2279499165,587532800,1083643241
901000,FK,588328095,758772755,546107631
901000,FU,4108364958,1401937301,3751028847
901000,CF,3846693,5886259,1370
901000,CE,1315290101,1374232835
950500,FL,2409573483,618779095,1149530418
950500,FK,622482101,798720812,577102366
950500,FU,4321073240,1482514869,3991069360
950500,CF,4117314,6260471,1488
950500,CE,1444834630,1493036348
1000000,FL,2564488627,648830798,1225622580
1000000,FK,658281632,842969690,611955347
1000000,FU,4621864762,1570430218,4251973019
1000000,CF,4329966,6569305,1107
1000000,CE,1599954271,1651816041
